,Entry,ExptA,Mno,restrt,Study.y,Expt,Ref,TDBU,FTG,Ygen,Yunits,Sys1,Des1,Slevels,Smax,Dur,Gtime,Tscale,LnTscale,Tser,FinalT.x,HigherT,richness,value,Mean.value,value.st,unit.types,unit.types2,maxTscale,logMaxTime,logY,logS,TG1,MaxTscale,Study,minval,maxval,convert.min,convert.max,values.rs,logY.rs,logYst,logSc,lnTc,logSmax,logSmaxc
36,1028,404,1194,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,390,365,1.0685,0.0662,Y,N,Y,4,82.8877,69.1243,1.199110877,cover,perc.cover,3.2877,1.190188232,4.41748668,1.386294361,1,3.2877,152,55.3609,82.8877,0,0,82.8877,4.41748668,0.181580346,-0.693147181,-2.062286411,1.386294361,-0.693147181
37,1029,404,1195,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,480,365,1.3151,0.2739,Y,N,Y,1,72.111,89.3086,0.807436238,cover,perc.cover,3.0411,1.112219292,4.278206599,0,1,3.0411,152,72.111,106.5062,0,0,72.111,4.278206599,-0.213891189,-2.079441542,-1.854629499,1.386294361,-0.693147181
38,1029,404,1195,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,480,365,1.3151,0.2739,Y,N,Y,1,72.111,89.3086,0.807436238,cover,perc.cover,3.2877,1.190188232,4.278206599,0,1,3.2877,152,72.111,106.5062,0,0,72.111,4.278206599,-0.213891189,-2.079441542,-1.854629499,1.386294361,-0.693147181
39,1029,404,1195,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,480,365,1.3151,0.2739,Y,N,Y,4,106.5062,89.3086,1.192563762,cover,perc.cover,3.0411,1.112219292,4.668203199,1.386294361,1,3.0411,152,72.111,106.5062,0,0,106.5062,4.668203199,0.176105412,-0.693147181,-1.854629499,1.386294361,-0.693147181
40,1029,404,1195,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,480,365,1.3151,0.2739,Y,N,Y,4,106.5062,89.3086,1.192563762,cover,perc.cover,3.2877,1.190188232,4.668203199,1.386294361,1,3.2877,152,72.111,106.5062,0,0,106.5062,4.668203199,0.176105412,-0.693147181,-1.854629499,1.386294361,-0.693147181
41,103,41,787,control,23,41,Duffy et al. 2005,TD,2,SST,g m-2,A,3,2,4,42,10.875,3.8621,1.3512,N,Y,Y,1,0.0016,0.00275,0.581818182,mass,biomass,3.8621,1.351211077,-6.43775165,0,2,3.8621,23,0.0016,0.0039,1,0,1.6,0.470003629,-0.541597282,-2.079441542,-0.77733113,1.386294361,-0.693147181
42,103,41,787,control,23,41,Duffy et al. 2005,TD,2,SST,g m-2,A,3,2,4,42,10.875,3.8621,1.3512,N,Y,Y,4,0.0039,0.00275,1.418181818,mass,biomass,3.8621,1.351211077,-5.546778726,1.386294361,2,3.8621,23,0.0016,0.0039,1,0,3.9,1.360976553,0.349375641,-0.693147181,-0.77733113,1.386294361,-0.693147181
43,1030,404,1196,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,570,365,1.5616,0.4457,Y,N,Y,1,71.0889,88.08455,0.807052996,cover,perc.cover,3.0411,1.112219292,4.263931206,0,1,3.0411,152,71.0889,105.0802,0,0,71.0889,4.263931206,-0.214365942,-2.079441542,-1.68283127,1.386294361,-0.693147181
44,1030,404,1196,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,570,365,1.5616,0.4457,Y,N,Y,1,71.0889,88.08455,0.807052996,cover,perc.cover,3.2877,1.190188232,4.263931206,0,1,3.2877,152,71.0889,105.0802,0,0,71.0889,4.263931206,-0.214365942,-2.079441542,-1.68283127,1.386294361,-0.693147181
45,1030,404,1196,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,570,365,1.5616,0.4457,Y,N,Y,4,105.0802,88.08455,1.192947004,cover,perc.cover,3.0411,1.112219292,4.654723868,1.386294361,1,3.0411,152,71.0889,105.0802,0,0,105.0802,4.654723868,0.176426719,-0.693147181,-1.68283127,1.386294361,-0.693147181
46,1030,404,1196,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,570,365,1.5616,0.4457,Y,N,Y,4,105.0802,88.08455,1.192947004,cover,perc.cover,3.2877,1.190188232,4.654723868,1.386294361,1,3.2877,152,71.0889,105.0802,0,0,105.0802,4.654723868,0.176426719,-0.693147181,-1.68283127,1.386294361,-0.693147181
47,1031,404,1197,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,660,365,1.8082,0.5923,Y,N,Y,1,67.2299,77.68805,0.865382771,cover,perc.cover,3.0411,1.112219292,4.208118089,0,1,3.0411,152,67.2299,88.1462,0,0,67.2299,4.208118089,-0.14458336,-2.079441542,-1.536210332,1.386294361,-0.693147181
48,1031,404,1197,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,660,365,1.8082,0.5923,Y,N,Y,1,67.2299,77.68805,0.865382771,cover,perc.cover,3.2877,1.190188232,4.208118089,0,1,3.2877,152,67.2299,88.1462,0,0,67.2299,4.208118089,-0.14458336,-2.079441542,-1.536210332,1.386294361,-0.693147181
49,1031,404,1197,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,660,365,1.8082,0.5923,Y,N,Y,4,88.1462,77.68805,1.134617229,cover,perc.cover,3.0411,1.112219292,4.4789968,1.386294361,1,3.0411,152,67.2299,88.1462,0,0,88.1462,4.4789968,0.126295351,-0.693147181,-1.536210332,1.386294361,-0.693147181
50,1031,404,1197,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,660,365,1.8082,0.5923,Y,N,Y,4,88.1462,77.68805,1.134617229,cover,perc.cover,3.2877,1.190188232,4.4789968,1.386294361,1,3.2877,152,67.2299,88.1462,0,0,88.1462,4.4789968,0.126295351,-0.693147181,-1.536210332,1.386294361,-0.693147181
51,1032,404,1198,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,750,365,2.0548,0.7202,Y,N,Y,1,73.9257,77.96105,0.948238896,cover,perc.cover,3.0411,1.112219292,4.303060535,0,1,3.0411,152,73.9257,81.9964,0,0,73.9257,4.303060535,-0.053148808,-2.079441542,-1.408363687,1.386294361,-0.693147181
52,1032,404,1198,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,750,365,2.0548,0.7202,Y,N,Y,1,73.9257,77.96105,0.948238896,cover,perc.cover,3.2877,1.190188232,4.303060535,0,1,3.2877,152,73.9257,81.9964,0,0,73.9257,4.303060535,-0.053148808,-2.079441542,-1.408363687,1.386294361,-0.693147181
53,1032,404,1198,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,750,365,2.0548,0.7202,Y,N,Y,4,81.9964,77.96105,1.051761104,cover,perc.cover,3.0411,1.112219292,4.406675344,1.386294361,1,3.0411,152,73.9257,81.9964,0,0,81.9964,4.406675344,0.050466001,-0.693147181,-1.408363687,1.386294361,-0.693147181
54,1032,404,1198,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,750,365,2.0548,0.7202,Y,N,Y,4,81.9964,77.96105,1.051761104,cover,perc.cover,3.2877,1.190188232,4.406675344,1.386294361,1,3.2877,152,73.9257,81.9964,0,0,81.9964,4.406675344,0.050466001,-0.693147181,-1.408363687,1.386294361,-0.693147181
55,1033,404,1199,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,840,365,2.3014,0.8335,Y,N,Y,1,66.917,92.0592,0.726890957,cover,perc.cover,3.0411,1.112219292,4.203453045,0,1,3.0411,152,66.917,117.2014,0,0,66.917,4.203453045,-0.318978803,-2.079441542,-1.295024573,1.386294361,-0.693147181
56,1033,404,1199,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,840,365,2.3014,0.8335,Y,N,Y,1,66.917,92.0592,0.726890957,cover,perc.cover,3.2877,1.190188232,4.203453045,0,1,3.2877,152,66.917,117.2014,0,0,66.917,4.203453045,-0.318978803,-2.079441542,-1.295024573,1.386294361,-0.693147181
57,1033,404,1199,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,840,365,2.3014,0.8335,Y,N,Y,4,117.2014,92.0592,1.273109043,cover,perc.cover,3.0411,1.112219292,4.763893822,1.386294361,1,3.0411,152,66.917,117.2014,0,0,117.2014,4.763893822,0.241461974,-0.693147181,-1.295024573,1.386294361,-0.693147181
58,1033,404,1199,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,840,365,2.3014,0.8335,Y,N,Y,4,117.2014,92.0592,1.273109043,cover,perc.cover,3.2877,1.190188232,4.763893822,1.386294361,1,3.2877,152,66.917,117.2014,0,0,117.2014,4.763893822,0.241461974,-0.693147181,-1.295024573,1.386294361,-0.693147181
59,1034,404,1200,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,930,365,2.5479,0.9353,Y,N,Y,1,78.0142,100.4153,0.77691547,cover,perc.cover,3.0411,1.112219292,4.356890861,0,1,3.0411,152,78.0142,122.8164,0,0,78.0142,4.356890861,-0.252423725,-2.079441542,-1.193272716,1.386294361,-0.693147181
60,1034,404,1200,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,930,365,2.5479,0.9353,Y,N,Y,1,78.0142,100.4153,0.77691547,cover,perc.cover,3.2877,1.190188232,4.356890861,0,1,3.2877,152,78.0142,122.8164,0,0,78.0142,4.356890861,-0.252423725,-2.079441542,-1.193272716,1.386294361,-0.693147181
61,1034,404,1200,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,930,365,2.5479,0.9353,Y,N,Y,4,122.8164,100.4153,1.22308453,cover,perc.cover,3.0411,1.112219292,4.810690557,1.386294361,1,3.0411,152,78.0142,122.8164,0,0,122.8164,4.810690557,0.201375971,-0.693147181,-1.193272716,1.386294361,-0.693147181
62,1034,404,1200,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,930,365,2.5479,0.9353,Y,N,Y,4,122.8164,100.4153,1.22308453,cover,perc.cover,3.2877,1.190188232,4.810690557,1.386294361,1,3.2877,152,78.0142,122.8164,0,0,122.8164,4.810690557,0.201375971,-0.693147181,-1.193272716,1.386294361,-0.693147181
63,1035,404,1201,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,1020,365,2.7945,1.0277,Y,N,Y,1,58.6149,76.41085,0.767101792,cover,perc.cover,3.0411,1.112219292,4.07098893,0,1,3.0411,152,58.6149,94.2068,0,0,58.6149,4.07098893,-0.265135771,-2.079441542,-1.100889007,1.386294361,-0.693147181
64,1035,404,1201,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,1020,365,2.7945,1.0277,Y,N,Y,1,58.6149,76.41085,0.767101792,cover,perc.cover,3.2877,1.190188232,4.07098893,0,1,3.2877,152,58.6149,94.2068,0,0,58.6149,4.07098893,-0.265135771,-2.079441542,-1.100889007,1.386294361,-0.693147181
65,1035,404,1201,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,1020,365,2.7945,1.0277,Y,N,Y,4,94.2068,76.41085,1.232898208,cover,perc.cover,3.0411,1.112219292,4.545492366,1.386294361,1,3.0411,152,58.6149,94.2068,0,0,94.2068,4.545492366,0.209367664,-0.693147181,-1.100889007,1.386294361,-0.693147181
66,1035,404,1201,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,1020,365,2.7945,1.0277,Y,N,Y,4,94.2068,76.41085,1.232898208,cover,perc.cover,3.2877,1.190188232,4.545492366,1.386294361,1,3.2877,152,58.6149,94.2068,0,0,94.2068,4.545492366,0.209367664,-0.693147181,-1.100889007,1.386294361,-0.693147181
67,1036,404,1202,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,1110,365,3.0411,1.1122,Y,N,Y,1,69.9833,93.36955,0.749530227,cover,perc.cover,3.0411,1.112219292,4.248256642,0,1,3.0411,152,69.9833,116.7558,0,0,69.9833,4.248256642,-0.288308633,-2.079441542,-1.016322915,1.386294361,-0.693147181
68,1036,404,1202,control,152,404,"Stachowicz et al, Ecology 2008",TD,1,SST,cover m-2,A,2,2,4,1110,365,3.0411,1.1122,Y,N,Y,1,69.9833,93.36955,0.749530227,cover,perc.cover,3.2877,1.190188232,4.248256642,0,1,3.2877,152,69.9833,116.7558,0,0,69.9833,4.248256642,-0.288308633,-2.079441542,-1.016322915,1.386294361,-0.693147181
